2023-01-20,00:03:42,10.220.105.167,2649,https://example.com/delta.html
2023-01-20,00:06:00,172.25.209.8,4209,https://example.com/november/yankee/uniform.html
2023-01-20,00:11:00,10.2.27.67,3781,https://example.com/quebec/tango.html
2023-01-20,00:17:43,172.16.5.236,1387,https://example.com/zulu/victor.html
2023-01-20,00:22:40,192.168.52.79,365,https://example.com/juliet/quebec.html
2023-01-20,00:24:00,172.27.99.77,2651,https://example.com/india.html
2023-01-20,00:25:18,192.168.8.134,4106,https://example.com/alpha/uniform.html
2023-01-20,00:36:51,192.168.179.174,1642,https://example.com/golf/quebec/sierra.html
2023-01-20,00:39:26,192.168.31.162,3028,https://example.com/mike.html
2023-01-20,00:40:13,172.18.71.198,1513,https://example.com/quebec.html
2023-01-20,00:40:16,192.168.127.237,1612,https://example.com/romeo.html
2023-01-20,00:53:27,172.30.236.28,2259,https://example.com/india.html
2023-01-20,00:55:01,172.23.127.123,4157,https://example.com/golf.html
2023-01-20,00:55:44,172.26.64.90,1580,https://example.com/quebec/delta.html
2023-01-20,00:57:18,192.168.11.240,2714,https://example.com/sierra/bravo/sierra.html
2023-01-20,01:00:47,10.80.226.198,283,https://example.com/xray.html
2023-01-20,01:02:53,172.30.18.60,2804,https://example.com/juliet/india.html
2023-01-20,01:03:19,172.30.121.225,2056,https://example.com/mike/charlie.html
2023-01-20,01:08:48,10.148.148.143,2164,https://example.com/mike/whisky/november.html
2023-01-20,01:09:16,10.206.121.212,3597,https://example.com/papa/golf.html
2023-01-20,01:14:33,192.168.15.193,2986,https://example.com/papa.html
2023-01-20,01:16:03,192.168.149.76,1565,https://example.com/november.html
2023-01-20,01:20:35,10.91.219.149,3859,https://example.com/kilo.html
2023-01-20,01:27:51,192.168.117.104,692,https://example.com/kilo/whisky.html
2023-01-20,01:30:45,192.168.188.185,439,https://example.com/november.html
2023-01-20,01:40:30,10.182.49.103,2133,https://example.com/victor/india.html
2023-01-20,01:43:01,192.168.180.49,2463,https://example.com/golf/yankee.html
2023-01-20,01:48:17,172.27.44.206,4237,https://example.com/papa/lima.html
2023-01-20,01:49:13,192.168.81.105,1240,https://example.com/kilo/whisky/juliet.html
2023-01-20,01:51:42,10.25.58.33,4024,https://example.com/alpha.html
